Question,Options,Correct Option,Explanation,Topic
"January 1, 2008 is Tuesday. What day of the week lies on Jan 1, 2009?","['Monday', 'Wednesday', 'Thursday', 'Sunday']",C,"The year 2008 is a leap year. So, it has 2 odd days.1stday of the year 2008 is Tuesday (Given)So, 1stday of the year 2009 is 2 days beyond Tuesday.Hence, it will be Thursday.",calendar
"January 1, 2007 was Monday. What day of the week lies on Jan. 1, 2008?","['Monday', 'Tuesday', 'Wednesday', 'Sunday']",B,"The year 2007 is an ordinary year. So, it has 1 odd day.1stday of the year 2007 was Monday.1stday of the year 2008 will be 1 day beyond Monday.Hence, it will be Tuesday.",calendar
An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,"['144°', '150°', '168°', '180°']",D,Angle traced by the hour hand in 6 hours =360x 6°= 180°.12,clock
The reflex angle between the hands of a clock at 10.25 is:,"['180°', '1921°2', '195°', '1971°2']",D,Angle traced by hour hand in125hrs =360x125°= 3121°.1212122Angle traced by minute hand in 25 min =360x 25°= 150°.60Reflex angle = 360° -3121- 150°= 360° - 1621°= 1971°.222,clock
"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:","['145°', '150°', '155°', '160°']",C,"Angle traced by hour hand in 12 hrs = 360°.Angle traced by hour hand in 5 hrs 10 min.i.e.,31hrs =360x31°= 155°.6126",clock
"A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:","['597min. past 312', '4 p.m.', '587min. past 311', '23min. past 411']",B,"Time from 7 a.m. to 4.15 p.m. = 9 hrs 15 min. =37hrs.43 min. 5 sec. of this clock = 3 min. of the correct clock.37hrs of this clock =1hrs of the correct clock.7202037hrs of this clock =1x720x37hrs of the correct clock.420374= 9 hrs of the correct clock.The correct time is 9 hrs after 7 a.m.i.e.,4 p.m.",clock
"How much does a watch lose per day, if its hands coincide every 64 minutes?","['328min.11', '365min.11', '90 min.', '96 min.']",A,55 min. spaces are covered in 60 min.60 min. spaces are covered in60x 60min.= 655min.5511Loss in 64 min. =655- 64=16min.1111Loss in 24 hrs =16x1x 24 x 60min.=328min.116411,clock
"At what time between 7 and 8 o'clock will the hands of a clock be in the same straight line but, not together?","['5 min. past 7', '52min. past 711', '53min. past 711', '55min. past 711']",D,"When the hands of the clock are in the same straight line but not together, they are 30 minute spaces apart.At 7 o'clock, they are 25 min. spaces apart.Minute hand will have to gain only 5 min. spaces.55 min. spaces are gained in 60 min.5 min. spaces are gained in60x 5min= 55min.5511Required time = 55min. past 7.11",clock
At what time between 5.30 and 6 will the hands of a clock be at right angles?,"['435min. past 511', '437min. past 511', '40 min. past 5', '45 min. past 5']",B,"At 5 o'clock, the hands are 25 min. spaces apart.To be at right angles and that too between 5.30 and 6, the minute hand has to gain (25 + 15) = 40 min. spaces.55 min. spaces are gained in 60 min.40 min. spaces are gained in60x 40min=437min.5511Required time = 437min. past 5.11",clock
"The angle between the minute hand and the hour hand of a clock when the time is 4.20, is:","['0°', '10°', '5°', '20°']",B,Angle traced by hour hand in13hrs =360x13°= 130°.3123Angle traced by min. hand in 20 min. =360x 20°= 120°.60Required angle = (130 - 120)° = 10°.,clock
At what angle the hands of a clock are inclined at 15 minutes past 5?,"['581°2', '64°', '671°2', '721°2']",C,Angle traced by hour hand in21hrs =360x21°=1571°41242Angle traced by min. hand in 15 min. =360x 15°= 90°.60Required angle =1571°- 90° = 671°22,clock
"At 3:40, the hour hand and the minute hand of a clock form an angle of:","['120°', '125°', '130°', '135°']",C,Angle traced by hour hand in 12 hrs. = 360°.Angle traced by it in11hrs =360x11°= 110°.3123Angle traced by minute hand in 60 min. = 360°.Angle traced by it in 40 min. =360x 40°= 240°.60Required angle (240 - 110)° = 130°.,clock
"At what time, in minutes, between 3 o'clock and 4 o'clock, both the needles will coincide each other?","['51""11', '124""11', '134""11', '164""11']",D,"At 3 o'clock, the minute hand is 15 min. spaces apart from the hour hand.To be coincident, it must gain 15 min. spaces.55 min. are gained in 60 min.15 min. are gained in60x 15min=164min.5511The hands are coincident at 164min. past 3.11",clock
How many times do the hands of a clock coincide in a day?,"['20', '21', '22', '24']",C,"The hands of a clock coincide 11 times in every 12 hours (Since between 11 and 1, they coincide only once,i.e.,at 12 o'clock).AM12:001:052:113:164:225:276:337:388:449:4910:55PM12:001:052:113:164:225:276:337:388:449:4910:55The hands overlap about every 65 minutes, not every 60 minutes.The hands coincide 22 times in a day.",clock
"How many times in a day, the hands of a clock are straight?","['22', '24', '44', '48']",C,"In 12 hours, the hands coincide or are in opposite direction 22 times.In 24 hours, the hands coincide or are in opposite direction 44 times a day.",clock
A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min. 48 sec fast at 2 p.m. on the following Monday. When was it correct?,"['2 p.m. on Tuesday', '2 p.m. on Wednesday', '3 p.m. on Thursday', '1 p.m. on Friday']",B,"Time from 12 p.m. on Monday to 2 p.m. on the following Monday = 7 days 2 hours = 170 hours.The watch gains2 + 44min.or34min. in 170 hrs.55Now,34min. are gained in 170 hrs.52 min. are gained in170 x5x 2hrs= 50 hrs.34Watch is correct 2 days 2 hrs. after 12 p.m. on Mondayi.e.,it will be correct at 2 p.m. on Wednesday.",clock
"In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 overs to reach the target of 282 runs?","['6.25', '6.5', '6.75', '7']",A,Required run rate =282 - (3.2 x 10)=250= 6.254040Video Explanation:https://youtu.be/GhK9d8tcqvA,average
"A family consists of two grandparents, two parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 years. What is the average age of the family?","['284years7', '315years7', '321years7', 'None of these']",B,Required average=67 x 2 + 35 x 2 + 6 x 32 + 2 + 3=134 + 70 + 187=2227= 315years.7Video Explanation:https://youtu.be/OXLnoItd0MA,average
"A grocer has a sale of Rs. 6435, Rs. 6927, Rs. 6855, Rs. 7230 and Rs. 6562 for 5 consecutive months. How much sale must he have in the sixth month so that he gets an average sale of Rs. 6500?","['Rs. 4991', 'Rs. 5991', 'Rs. 6001', 'Rs. 6991']",A,Total sale for 5 months = Rs. (6435 + 6927 + 6855 + 7230 + 6562) = Rs. 34009.Required sale = Rs. [ (6500 x 6) - 34009 ]= Rs. (39000 - 34009)= Rs. 4991.Video Explanation:https://youtu.be/tP4hszReksU,average
"The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?","['0', '1', '10', '19']",D,Average of 20 numbers = 0.Sum of 20 numbers (0 x 20) = 0.It is quite possible that 19 of these numbers may be positive and if their sum isathen 20th number is (-a).,average
The average weight of 8 person's increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person?,"['76 kg', '76.5 kg', '85 kg', 'Data inadequate', 'None of these']",C,Total weight increased = (8 x 2.5) kg = 20 kg.Weight of new person = (65 + 20) kg = 85 kg.Video Explanation:https://youtu.be/ceg2jvHsiJU,average
"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?","['23 years', '24 years', '25 years', 'None of these']",A,"Let the average age of the whole team byxyears.11x- (26 + 29) = 9(x-1)11x- 9x= 462x= 46x= 23.So, average age of the team is 23 years.",average
The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is:,"['3500', '4000', '4050', '5000']",B,"Let P, Q and R represent their respective monthly incomes. Then, we have:P + Q = (5050 x 2) = 10100 .... (i)Q + R = (6250 x 2) = 12500 .... (ii)P + R = (5200 x 2) = 10400 .... (iii)Adding (i), (ii) and (iii), we get:  2(P + Q + R) = 33000  or   P + Q + R = 16500 .... (iv)Subtracting (ii) from (iv), we get P = 4000.P's monthly income = Rs. 4000.",average
"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:","['35 years', '40 years', '50 years', 'None of these']",B,"Sum of the present ages of husband, wife and child = (27 x 3 + 3 x 3) years = 90 years.Sum of the present ages of wife and child = (20 x 2 + 5 x 2) years = 50 years.Husband's present age = (90 - 50) years = 40 years.",average
"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per litre for three successive years. What approximately is the average cost per litre of petrol if he spends Rs. 4000 each year?","['Rs. 7.98', 'Rs. 8', 'Rs. 8.50', 'Rs. 9']",A,Total quantity of petrolconsumed in 3 years=4000+4000+4000litres7.5088.50= 40002+1+2litres15817=76700litres51Total amount spent = Rs. (3 x 4000) = Rs. 12000.Average cost = Rs.12000 x 51= Rs.6120= Rs. 7.9876700767,average
"In Arun's opinion, his weight is greater than 65 kg but less than 72 kg. His brother does not agree with Arun and he thinks that Arun's weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation, what is the average of different probable weights of Arun?","['67 kg.', '68 kg.', '69 kg.', 'Data inadequate', 'None of these']",A,"Let Arun's weight by X kg.According to Arun, 65 < X < 72According to Arun's brother, 60 < X < 70.According to Arun's mother, X <= 68The values satisfying all the above conditions are 66, 67 and 68.Required average =66 + 67 + 68=201= 67 kg.33",average
"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is:","['17 kg', '20 kg', '26 kg', '31 kg']",D,"Let A, B, C represent their respective weights. Then, we have:A + B + C = (45 x 3) = 135 .... (i)A + B = (40 x 2) = 80 .... (ii)B + C = (43 x 2) = 86 ....(iii)Adding (ii) and (iii), we get: A + 2B + C = 166 .... (iv)Subtracting (i) from (iv), we get : B = 31.B's weight = 31 kg.",average
The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,"['47.55 kg', '48 kg', '48.55 kg', '49.25 kg']",C,Required average=50.25 x 16 + 45.15 x 816 + 8=804 + 361.2024=1165.2024= 48.55,average
A library has an average of 510 visitors on Sundays and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is:,"['250', '276', '280', '285']",D,"Since the month begins with a Sunday, to there will be five Sundays in the month.Required average=510 x 5 + 240 x 2530=855030= 285",average
"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:","['53.33', '54.68', '55', 'None of these']",B,Required average=55 x 50 + 60 x 55 + 45 x 6055 + 60 + 45=2750 + 3300 + 2700160=8750160= 54.68,average
A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half (1/2). The number of pupils in the class is:,"['10', '20', '40', '73']",C,Let there bexpupils in the class.Total increase in marks =xx1=x22x= (83 - 63)x= 20x= 40.22,average
"The ratio between the length and the breadth of a rectangular park is 3 : 2. If a man cycling along the boundary of the park at the speed of 12 km/hr completes one round in 8 minutes, then the area of the park (in sq. m) is:","['15360', '153600', '30720', '307200']",B,"Perimeter = Distance covered in 8 min. =12000x 8m = 1600 m.60Let length = 3xmetres and breadth = 2xmetres.Then, 2(3x+ 2x) = 1600 orx= 160.Length = 480 m and Breadth = 320 m.Area = (480 x 320) m2= 153600 m2.",area
An error 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area of the square is:,"['2%', '2.02%', '4%', '4.04%']",D,100 cm is read as 102 cm.A1= (100 x 100) cm2and A2(102 x 102) cm2.(A2- A1) = [(102)2- (100)2]= (102 + 100) x (102 - 100)= 404 cm2.Percentage error =404x 100%= 4.04%100 x 100,area
"The ratio between the perimeter and the breadth of a rectangle is 5 : 1. If the area of the rectangle is 216 sq. cm, what is the length of the rectangle?","['16 cm', '18 cm', '24 cm', 'Data inadequate', 'None of these']",B,"2(l+b)=5b12l+ 2b= 5b3b= 2lb=2l3Then, Area = 216 cm2lxb= 216lx2l= 2163l2= 324l= 18 cm.",area
"The percentage increase in the area of a rectangle, if each of its sides is increased by 20% is:","['40%', '42%', '44%', '46%']",C,Let original length =xmetres and original breadth =ymetres.Original area = (xy) m2.New length =120xm=6xm.1005New breadth =120ym=6ym.1005New Area =6xx6ym2=36xym2.5525The difference between the original area = xy and new-area 36/25 xy is= (36/25)xy - xy= xy(36/25 - 1)= xy(11/25) or (11/25)xyIncrease % =11xyx1x 100%= 44%.25xyVideo Explanation:https://youtu.be/I3jLjLPn1W4,area
"A rectangular park 60 m long and 40 m wide has two concrete crossroads running in the middle of the park and rest of the park has been used as a lawn. If the area of the lawn is 2109 sq. m, then what is the width of the road?","['2.91 m', '3 m', '5.82 m', 'None of these']",B,"Area of the park = (60 x 40) m2= 2400 m2.Area of the lawn = 2109 m2.Area of the crossroads = (2400 - 2109) m2= 291 m2.Let the width of the road bexmetres. Then,60x+ 40x-x2= 291x2- 100x+ 291 = 0(x- 97)(x- 3) = 0x= 3.Video Explanation:https://youtu.be/R3CtrAKGxkc",area
The diagonal of the floor of a rectangular closet is 7feet. The shorter side of the closet is 4feet. What is the area of the closet in square feet?,"['514', '1312', '27', '37']",C,Other side=152-9222ft=225-8144ft=1444ft=6 ft.Area of closet = (6 x 4.5) sq. ft = 27 sq. ft.,area
"A towel, when bleached, was found to have lost 20% of its length and 10% of its breadth. The percentage of decrease in area is:","['10%', '10.08%', '20%', '28%']",D,Let original length =xand original breadth =y.Decrease in area=xy -80xx90y100100=xy-18xy25=7xy.25Decrease % =7xyx1x 100%= 28%.25xy,area
"A man walked diagonally across a square lot. Approximately, what was the percent saved by not walking along the edges?","['20', '24', '30', '33']",C,"Let the side of the square(ABCD) bexmetres.Then, AB + BC = 2xmetres.AC =2x= (1.41x) m.Saving on 2xmetres = (0.59x) m.Saving % =0.59xx 100%= 30% (approx.)2x",area
The diagonal of a rectangle is41cm and its area is 20 sq. cm. The perimeter of the rectangle must be:,"['9 cm', '18 cm', '20 cm', '41 cm']",B,"l2+b2=41.Also,lb= 20.(l+b)2= (l2+b2) + 2lb= 41 + 40 = 81(l+b) = 9.Perimeter = 2(l+b) = 18 cm.",area
What is the least number of squares tiles required to pave the floor of a room 15 m 17 cm long and 9 m 2 cm broad?,"['814', '820', '840', '844']",A,Length of largest tile = H.C.F. of 1517 cm and 902 cm = 41 cm.Area of each tile = (41 x 41) cm2.Required number of tiles =1517 x 902= 814.41 x 41,area
"The difference between the length and breadth of a rectangle is 23 m. If its perimeter is 206 m, then its area is:","['1520 m2', '2420 m2', '2480 m2', '2520 m2']",D,"We have: (l-b) = 23 and 2(l+b) = 206 or (l+b) = 103.Solving the two equations, we get:l= 63 andb= 40.Area = (lxb) = (63 x 40) m2= 2520 m2.",area
"The length of a rectangle is halved, while its breadth is tripled. What is the percentage change in area?","['25% increase', '50% increase', '50% decrease', '75% decrease']",B,Let original length =xand original breadth =y.Original area =xy.New length =x.2New breadth = 3y.New area =xx 3y=3xy.22Increase % =1xyx1x 100%= 50%.2xy,area
"The length of a rectangular plot is 20 metres more than its breadth. If the cost of fencing the plot @ 26.50 per metre is Rs. 5300, what is the length of the plot in metres?","['40', '50', '120', 'Data inadequate', 'None of these']",E,"Let breadth =xmetres.Then, length = (x+ 20) metres.Perimeter =5300m = 200 m.26.502[(x+ 20) +x] = 2002x+ 20 = 1002x= 80x= 40.Hence, length =x+ 20 = 60 m.",area
"A rectangular field is to be fenced on three sides leaving a side of 20 feet uncovered. If the area of the field is 680 sq. feet, how many feet of fencing will be required?","['34', '40', '68', '88']",D,"We have:l= 20 ft andlb= 680 sq. ft.So,b= 34 ft.Length of fencing = (l+ 2b) = (20 + 68) ft = 88 ft.",area
"A tank is 25 m long, 12 m wide and 6 m deep. The cost of plastering its walls and bottom at 75 paise per sq. m, is:","['Rs. 456', 'Rs. 458', 'Rs. 558', 'Rs. 568']",C,Area to be plastered= [2(l+b) xh] + (lxb)= {[2(25 + 12) x 6] + (25 x 12)} m2= (444 + 300) m2= 744 m2.Cost of plastering = Rs.744 x75= Rs. 558.100,area
"A right triangle with sides 3 cm, 4 cm and 5 cm is rotated the side of 3 cm to form a cone. The volume of the cone so formed is:","['12cm3', '15cm3', '16cm3', '20cm3']",A,"Clearly, we haver= 3 cm andh= 4 cm.Volume =1r2h=1xx 32x 4cm3= 12cm3.33Video Explanation:https://youtu.be/Njsid2mVwUY",volume-and-surface-area
"In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:","['75 cu. m', '750 cu. m', '7500 cu. m', '75000 cu. m']",B,"1 hectare = 10,000 m2So, Area = (1.5 x 10000) m2= 15000 m2.Depth =5m=1m.10020Volume = (Area x Depth) =15000 x1m3= 750 m3.20Video Explanation:https://youtu.be/dDbVuBzYop8",volume-and-surface-area
"A hall is 15 m long and 12 m broad. If the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls, the volume of the hall is:","['720', '900', '1200', '1800']",C,2(15 + 12) xh= 2(15 x 12)h=180m =20m.273Volume =15 x 12 x20m3= 1200 m3.3Video Explanation:https://youtu.be/V8EQ1YIaH74,volume-and-surface-area
66 cubic centimetres of silver is drawn into a wire 1 mm in diameter. The length of the wire in metres will be:,"['84', '90', '168', '336']",A,"Let the length of the wire beh.Radius =1mm=1cm.Then,22022x1x1xh= 66.72020h=66 x 20 x 20 x 7= 8400 cm = 84 m.22",volume-and-surface-area
"A hollow iron pipe is 21 cm long and its external diameter is 8 cm. If the thickness of the pipe is 1 cm and iron weighs 8 g/cm3, then the weight of the pipe is:","['3.6 kg', '3.696 kg', '36 kg', '36.9 kg']",B,"External radius = 4 cm,Internal radius = 3 cm.Volume of iron=22x [(4)2- (3)2] x 21cm37=22x 7 x 1 x 21cm37= 462 cm3.Weight of iron = (462 x 8) gm = 3696 gm = 3.696 kg.",volume-and-surface-area
A boat having a length 3 m and breadth 2 m is floating on a lake. The boat sinks by 1 cm when a man gets on it. The mass of the man is:,"['12 kg', '60 kg', '72 kg', '96 kg']",B,Volume of water displaced= (3 x 2 x 0.01) m3= 0.06 m3.Mass of man= Volume of water displaced x Density of water= (0.06 x 1000) kg= 60 kg.,volume-and-surface-area
"50 men took a dip in a water tank 40 m long and 20 m broad on a religious day. If the average displacement of water by a man is 4 m3, then the rise in the water level in the tank will be:","['20 cm', '25 cm', '35 cm', '50 cm']",B,Total volume of water displaced = (4 x 50) m3= 200 m3.Rise in water level =200m 0.25 m = 25 cm.40 x 20,volume-and-surface-area
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface.,"['30m2', '40m2', '60m2', '80m2']",C,"l= 10 m,h= 8 m.So,r=l2-h2=(10)2- 82= 6 m.Curved surface area =rl= (x 6 x 10) m2= 60m2.",volume-and-surface-area
A cistern 6m long and 4 m wide contains water up to a depth of 1 m 25 cm. The total area of the wet surface is:,"['49 m2', '50 m2', '53.5 m2', '55 m2']",A,Area of the wet surface= [2(lb+bh+lh) -lb]= 2(bh+lh) +lb= [2 (4 x 1.25 + 6 x 1.25) + 6 x 4] m2= 49 m2.,volume-and-surface-area
"A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off so as to make an open box. If the length of the square is 8 m, the volume of the box (in m3) is:","['4830', '5120', '6420', '8960']",B,"Clearly,l= (48 - 16)m = 32 m,b= (36 -16)m = 20 m,h= 8 m.Volume of the box = (32 x 20 x 8) m3= 5120 m3.",volume-and-surface-area
The curved surface area of a cylindrical pillar is 264 m2and its volume is  924 m3. Find the ratio of its diameter to its height.,"['3 : 7', '7 : 3', '6 : 7', '7 : 6']",B,"r2h=924r=924x 2= 7 m.2rh264264And, 2rh= 264h=264 x7x1x1= 6m.2227Required ratio =2r=14= 7 : 3.h6",volume-and-surface-area
A cistern of capacity 8000 litres measures externally 3.3 m by 2.6 m by 1.1 m and its walls are 5 cm thick. The thickness of the bottom is:,"['90 cm', '1 dm', '1 m', '1.1 cm']",B,"Let the thickness of the bottom bexcm.Then, [(330 - 10) x (260 - 10) x (110 -x)] = 8000 x 1000320 x 250 x (110 -x) = 8000 x 1000(110 -x) =8000 x 1000= 100320 x 250x= 10 cm = 1 dm.",volume-and-surface-area
What is the total surface area of a right circular cone of height 14 cm and base radius 7 cm?,"['344.35 cm2', '462 cm2', '498.35 cm2', 'None of these']",C,"h= 14 cm,r= 7 cm.So,l=(7)2+ (14)2=245= 75cm.Total surface area=rl+r2=22x 7 x 75+22x 7 x 7cm277= [154(5+ 1)] cm2= (154 x 3.236) cm2= 498.35 cm2.",volume-and-surface-area
"A large cube is formed from the material obtained by melting three smaller cubes of 3, 4 and 5 cm side. What is the ratio of the total surface areas of the smaller cubes and the large cube?","['2 : 1', '3 : 2', '25 : 18', '27 : 20']",C,"Volume of the large cube = (33+ 43+ 53) = 216 cm3.Let the edge of the large cube bea.So,a3= 216a= 6 cm.Required ratio =6 x (32+ 42+ 52)=50= 25 : 18.6 x 6236",volume-and-surface-area
"How many bricks, each measuring 25 cm x 11.25 cm x 6 cm, will be needed to build a wall of 8 m x 6 m x 22.5 cm?","['5600', '6000', '6400', '7200']",C,Number of bricks =Volume of the wall=800 x 600 x 22.5= 6400.Volume of 1 brick25 x 11.25 x 6,volume-and-surface-area
"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. In how many ways can it be done?","['564', '645', '735', '756', 'None of these']",D,We may have (3 men and 2 women) or (4 men and 1 woman) or (5 men only).Required number of ways= (7C3x6C2) + (7C4x6C1) + (7C5)=7 x 6 x 5x6 x 5+ (7C3x6C1) + (7C2)3 x 2 x 12 x 1= 525 +7 x 6 x 5x 6+7 x 63 x 2 x 12 x 1= (525 + 210 + 21)= 756.,permutation-and-combination
In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together?,"['360', '480', '720', '5040', 'None of these']",C,"The word 'LEADING' has 7 different letters.When the vowels EAI are always together, they can be supposed to form one letter.Then, we have to arrange the letters LNDG (EAI).Now, 5 (4 + 1 = 5) letters can be arranged in 5! = 120 ways.The vowels (EAI) can be arranged among themselves in 3! = 6 ways.Required number of ways = (120 x 6) = 720.Video Explanation:https://youtu.be/WCEF3iW3H2c",permutation-and-combination
In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?,"['810', '1440', '2880', '50400', '5760']",D,"In the word 'CORPORATION', we treat the vowels OOAIO as one letter.Thus, we have CRPRTN (OOAIO).This has 7 (6 + 1) letters of which R occurs 2 times and the rest are different.Number of ways arranging these letters =7!= 2520.2!Now, 5 vowels in which O occurs 3 times and the rest are different, can be arrangedin5!= 20 ways.3!Required number of ways = (2520 x 20) = 50400.Video Explanation:https://youtu.be/o3fwMoB0duw",permutation-and-combination
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?","['210', '1050', '25200', '21400', 'None of these']",C,"Number of ways of selecting (3 consonants out of 7) and (2 vowels out of 4)= (7C3x4C2)=7 x 6 x 5x4 x 33 x 2 x 12 x 1= 210.Number of groups, each having 3 consonants and 2 vowels = 210.Each group contains 5 letters.Number of ways of arranging5 letters among themselves= 5!= 5 x 4 x 3 x 2 x 1= 120.Required number of ways = (210 x 120) = 25200.Video Explanation:https://youtu.be/dm-8T8Si5lg",permutation-and-combination
In how many ways can the letters of the word 'LEADER' be arranged?,"['72', '144', '360', '720', 'None of these']",C,"The word 'LEADER' contains 6 letters, namely 1L, 2E, 1A, 1D and 1R.Required number of ways =6!= 360.(1!)(2!)(1!)(1!)(1!)Video Explanation:https://youtu.be/2_2QukHfkYA",permutation-and-combination
"In a group of 6 boys and 4 girls, four children are to be selected. In how many different ways can they be selected such that at least one boy should be there?","['159', '194', '205', '209', 'None of these']",D,We may have (1 boy and 3 girls) or (2 boys and 2 girls) or (3 boys and 1 girl) or (4 boys).Required numberof ways= (6C1x4C3) + (6C2x4C2) + (6C3x4C1) + (6C4)= (6C1x4C1) + (6C2x4C2) + (6C3x4C1) + (6C2)= (6 x 4) +6 x 5x4 x 3+6 x 5 x 4x 4+6 x 52 x 12 x 13 x 2 x 12 x 1= (24 + 90 + 80 + 15)= 209.,permutation-and-combination
"How many 3-digit numbers can be formed from the digits 2, 3, 5, 6, 7 and 9, which are divisible by 5 and none of the digits is repeated?","['5', '10', '15', '20']",D,"Since each desired number is divisible by 5, so we must have 5 at the unit place. So, there is 1 way of doing it.The tens place can now be filled by any of the remaining 5 digits (2, 3, 6, 7, 9). So, there are 5 ways of filling the tens place.The hundreds place can now be filled by any of the remaining 4 digits. So, there are 4 ways of filling it.Required number of numbers = (1 x 5 x 4) = 20.",permutation-and-combination
"In how many ways a committee, consisting of 5 men and 6 women can be formed from 8 men and 10 women?","['266', '5040', '11760', '86400', 'None of these']",C,Required number of ways= (8C5x10C6)= (8C3x10C4)=8 x 7 x 6x10 x 9 x 8 x 73 x 2 x 14 x 3 x 2 x 1= 11760.,permutation-and-combination
"A box contains 2 white balls, 3 black balls and 4 red balls. In how many ways can 3 balls be drawn from the box, if at least one black ball is to be included in the draw?","['32', '48', '64', '96', 'None of these']",C,We may have(1 black and 2 non-black) or (2 black and 1 non-black) or (3 black).Required number of ways= (3C1x6C2) + (3C2x6C1) + (3C3)=3 x6 x 5+3 x 2x 6+ 12 x 12 x 1= (45 + 18 + 1)= 64.,permutation-and-combination
In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?,"['32', '48', '36', '60', '120']",C,"There are 6 letters in the given word, out of which there are 3 vowels and 3 consonants.Let us mark these positions as under:(1) (2) (3) (4) (5) (6)Now, 3 vowels can be placed at any of the three places, marked 1, 3, 5.Number of ways of arranging the vowels =3P3= 3! = 6.Also, the 3 consonants can be arranged at the remaining 3 positions.Number of ways of these arrangements =3P3= 3! = 6.Total number of ways = (6 x 6) = 36.",permutation-and-combination
In how many ways can a group of 5 men and 2 women be made out of a total of 7 men and 3 women?,"['63', '90', '126', '45', '135']",A,Required number of ways = (7C5x3C2) = (7C2x3C1) =7 x 6x 3= 63.2 x 1,permutation-and-combination
"How many 4-letter words with or without meaning, can be formed out of the letters of the word, 'LOGARITHMS', if repetition of letters is not allowed?","['40', '400', '5040', '2520']",C,"'LOGARITHMS' contains 10 different letters.Required number of words= Number of arrangements of 10 letters, taking 4 at a time.=10P4= (10 x 9 x 8 x 7)= 5040.",permutation-and-combination
In how many different ways can the letters of the word 'MATHEMATICS' be arranged so that the vowels always come together?,"['10080', '4989600', '120960', 'None of these']",C,"In the word 'MATHEMATICS', we treat the vowels AEAI as one letter.Thus, we have MTHMTCS (AEAI).Now, we have to arrange 8 letters, out of which M occurs twice, T occurs twice and the rest are different.Number of ways of arranging these letters =8!= 10080.(2!)(2!)Now, AEAI has 4 letters in which A occurs 2 times and the rest are different.Number of ways of arranging these letters =4!= 12.2!Required number of words = (10080 x 12) = 120960.",permutation-and-combination
In how many different ways can the letters of the word 'OPTICAL' be arranged so that the vowels always come together?,"['120', '720', '4320', '2160', 'None of these']",B,"The word 'OPTICAL'  contains 7 different letters.When the vowels OIA are always together, they can be supposed to form one letter.Then, we have to arrange the letters PTCL (OIA).Now, 5 letters can be arranged in 5! = 120 ways.The vowels (OIA) can be arranged among themselves in 3! = 6 ways.Required number of ways = (120 x 6) = 720.",permutation-and-combination
Which one of the following is not a prime number?,"['31', '61', '71', '91']",D,"91 is divisible by 7. So, it is not a prime number.",numbers
(112 x 54) = ?,"['67000', '70000', '76500', '77200']",B,(112 x 54) = 112 x104=112 x 104=1120000= 7000022416,numbers
It is being given that (232+ 1) is completely divisible by a whole number. Which of the following numbers is completely divisible by this number?,"['(216+ 1)', '(216- 1)', '(7 x 223)', '(296+ 1)']",D,"Let 232=x. Then, (232+ 1) = (x+ 1).Let (x+ 1) be completely divisible by the natural number N. Then,(296+ 1) = [(232)3+ 1] = (x3+ 1) = (x+ 1)(x2-x+ 1), which is completely divisible by N, since (x+ 1) is divisible by N.",numbers
